insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (1, 45, 738, 194, 893, 955, 262, 806, 107);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (52, 659, 944, 170, 496, 341, 56, 830, 504);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (53, 615, 447, 671, 581, 385, 553, 329, 419);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (54, 669, 752, 516, 223, 331, 248, 484, 777);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (55, 388, 716, 448, 932, 612, 284, 552, 68);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (56, 859, 614, 367, 17, 141, 386, 633, 983);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (57, 419, 722, 218, 488, 581, 278, 782, 512);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (58, 688, 81, 700, 906, 312, 919, 300, 94);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (59, 440, 472, 560, 112, 560, 528, 440, 888);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (60, 363, 783, 620, 828, 637, 217, 380, 172);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (61, 64, 516, 755, 173, 936, 484, 245, 827);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (62, 857, 156, 104, 118, 143, 844, 896, 882);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (63, 133, 609, 368, 878, 867, 391, 632, 122);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (64, 394, 662, 968, 896, 606, 338, 32, 104);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (65, 68, 909, 973, 519, 932, 91, 27, 481);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (66, 4, 537, 416, 106, 996, 463, 584, 894);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (67, 575, 83, 500, 38, 425, 917, 500, 962);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (68, 286, 570, 492, 208, 714, 430, 508, 792);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (69, 907, 209, 281, 14, 93, 791, 719, 986);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (70, 786, 464, 336, 106, 214, 536, 664, 894);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (71, 90, 194, 194, 984, 910, 806, 806, 16);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (72, 781, 196, 968, 46, 219, 804, 32, 954);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (73, 677, 693, 397, 48, 323, 307, 603, 952);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (74, 284, 126, 23, 22, 716, 874, 977, 978);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (75, 773, 388, 242, 736, 227, 612, 758, 264);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (76, 942, 177, 386, 681, 58, 823, 614, 319);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (77, 311, 799, 484, 23, 689, 201, 516, 977);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (78, 808, 465, 112, 49, 192, 535, 888, 951);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (79, 137, 109, 57, 474, 863, 891, 943, 526);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (80, 126, 225, 883, 678, 874, 775, 117, 322);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (81, 993, 228, 534, 963, 7, 772, 466, 37);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (82, 828, 862, 196, 895, 172, 138, 804, 105);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (83, 795, 970, 86, 785, 205, 30, 914, 215);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (84, 518, 410, 435, 320, 482, 590, 565, 680);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (85, 336, 131, 902, 974, 664, 869, 98, 26);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (86, 835, 482, 84, 50, 165, 518, 916, 950);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (87, 262, 934, 924, 31, 738, 66, 76, 969);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (88, 648, 568, 561, 382, 352, 432, 439, 618);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (89, 36, 137, 320, 522, 964, 863, 680, 478);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (90, 571, 543, 890, 296, 429, 457, 110, 704);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (91, 60, 881, 85, 78, 940, 119, 915, 922);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (92, 403, 450, 46, 848, 597, 550, 954, 152);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (93, 656, 323, 518, 966, 344, 677, 482, 34);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (94, 149, 194, 128, 303, 851, 806, 872, 697);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (95, 709, 373, 27, 353, 291, 627, 973, 647);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (96, 681, 69, 226, 916, 319, 931, 774, 84);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (97, 154, 681, 608, 293, 846, 319, 392, 707);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (98, 920, 949, 113, 394, 80, 51, 887, 606);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (99, 169, 994, 294, 305, 831, 6, 706, 695);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (100, 104, 730, 685, 896, 896, 270, 315, 104);
